Word,Val,AbsVal,Sent,AbsSent,DominantModality
shadowy,5.466477273,0.904985085,0.140469636,0.536082943,Sight
shaggy,5.620693069,0.872337751,0.123040816,0.467633935,Sight
shallow,5.515985222,0.868690464,0.117414392,0.619009821,Sight
sharp,5.202479241,0.992634241,0.006454545,0.609432201,Touch
sheer,5.299710366,1.319592897,-0.011308442,0.801039573,Sight
shimmering,5.891686747,0.961673846,0.436939759,0.61227206,Sight
shiny,5.413979058,0.765299716,0.233790761,0.528342746,Sight
short,5.433436929,0.843992132,0.113323801,0.550142679,Sight
shrieking,5.240377358,1.14245264,0.067137255,0.508392465,Sound
shrill,5.087352941,1.123069427,-0.042845361,0.625938954,Sound
silent,5.331201672,1.142956937,0.085399784,0.614644774,Sound
silky,5.740194805,0.893441036,0.479698718,0.637077156,Touch
silver,5.784931507,0.927533833,0.314506849,0.518128665,Sight
skinny,5.533890909,0.945719894,0.141282528,0.537469978,Sight
slick,5.504644068,0.871806749,0.158537162,0.547499593,Sight
slimy,5.19446281,0.995778632,0.097826087,0.534714272,Touch
slippery,5.446836364,0.802833288,0.134652985,0.616811342,Touch
slushy,5.309310345,0.923288884,0.241576923,0.477427909,Sight
small,5.314277127,0.931466118,0.137467971,0.669430168,Sight
smelly,5.176338028,0.971852545,0.100293233,0.523363618,Smell
smoky,5.538823529,1.023393333,0.366246753,0.737585865,Smell
smooth,5.540558003,0.844622963,0.255969343,0.607529147,Touch
snarling,5.163188406,1.083689887,-0.100161765,0.565746767,Sound
snorting,5.395,1.555384357,-0.012818182,0.347546882,Sound
soapy,5.916444444,1.197076424,0.355914894,0.616217778,Sight
sodden,5.409310345,0.894654825,0.126973214,0.477117754,Sight
soft,5.454473925,0.931899914,0.150204896,0.618303033,Touch
soggy,5.44441989,0.952430661,0.186431034,0.553433561,Touch
solid,5.527763272,0.878413683,0.061660494,0.549814071,Touch
sonorous,5.874878049,0.965215288,0.131911111,0.602532984,Sound
sore,5.056132075,0.855290144,-0.166278846,0.614837746,Touch
soundless,5.229795918,1.007393798,0.043431818,0.661751428,Sound
sour,5.491092437,1.20917879,0.140840164,0.693063406,Taste
sparkly,5.738867925,0.877604743,0.201641509,0.493681319,Sight
speckled,5.589193548,0.867456226,0.334540984,0.519923954,Sight
spicy,5.843225806,1.037600841,0.680765854,0.838365366,Taste
spiky,5.707368421,0.977206057,0.35095082,0.62302077,Touch
spilling,5.7,0.984065602,0.388857143,0.475149587,Sight
spotless,5.9184,0.971784089,0.386662162,0.573155439,Sight
spotted,5.405044248,1.033491877,0.159948276,0.53057059,Sight
square,5.54826087,0.838554082,0.20334058,0.499822406,Sight
squeaking,5.32,0.710180677,0.3355,0.572130889,Sound
squealing,5.372142857,1.165439505,0.10156,0.308041884,Sound
stagnant,5.371034483,0.950353394,0.120012195,0.594745434,Sight
stale,5.518959538,1.181044654,0.208488506,0.656731871,Taste
steep,5.228913043,0.811227243,0.168665198,0.595416103,Sight
stenchy,5.62,0.556153072,5,4.936015703,Smell
sticky,5.337,0.882716138,0.106022508,0.606300197,Touch
stinging,4.847368421,1.156811761,0.063704698,0.672684037,Touch
stinky,5.485862069,1.090875091,0.092655172,0.603621231,Smell
stormy,5.501052632,1.272739351,0.173115044,0.524603576,Sight
straight,5.43860735,0.919301883,-0.047220307,0.578728983,Sight
strange,5.480895296,1.077857751,0.074687943,0.612033559,Sight
striped,5.579267016,0.807011278,0.350292308,0.623508926,Sight
strong,5.430486233,0.952014954,0.005910628,0.640922269,Sight
sturdy,5.644059946,0.819068987,0.160066852,0.493155434,Touch
